id,genre,title,author,purchase_price,purchase_date
1605, Paranormal,Chosen,P.C. Cast,1.79,10/08/2023
1606, Historical Fiction,A Room with a View,E.M. Forster,9.24,10/08/2023
1607, 19th Century,Bleak House,Charles Dickens,5.51,10/08/2023
1608, Politics,The Republic,Plato,2.85,10/08/2023
1609, Young Adult,The Last Battle,C.S. Lewis,1.79,10/08/2023
1610, Paranormal,The Exorcist,William Peter Blatty,6.49,10/08/2023
1611, Drama,The Elephant Tree,R.D. Ronald,5.42,10/08/2023
1612, Young Adult,Coraline,Neil Gaiman,11.55,10/08/2023
1613, Literature,Demian: Die Geschichte von Emil Sinclairs Jugend,Hermann Hesse,3.56,10/08/2023
1614, Fiction,The 5th Wave,Rick Yancey,1.64,10/08/2023
1615, Paranormal,The Iron King,Julie Kagawa,3.81,10/08/2023
1616, Novels,Quantum Roots II: Worm Holes,Kyle Keyes,14.36,10/08/2023
1617, Romance,Aristotle and Dante Discover the Secrets of the Universe,Benjamin Alire Sáenz,19.17,10/08/2023
1618, Fantasy,The Hunger Games,Suzanne Collins,5.09,13/10/2022
1619, Magic,Harry Potter and the Order of the Phoenix,J.K. Rowling,7.38,13/10/2022
1620, Vampires,Twilight,Stephenie Meyer,2.1,13/10/2022
1621, Historical,The Book Thief,Markus Zusak,3.8,13/10/2022
1622, Fantasy,Animal Farm,George Orwell,4.42,13/10/2022
1623, Adventure,J.R.R. Tolkien 4-Book Boxed Set: The Hobbit and The Lord of the Rings,J.R.R. Tolkien,21.15,13/10/2022
1624, Romance,Gone with the Wind,Margaret Mitchell,5.58,13/10/2022
1625, Fiction,The Giving Tree,Shel Silverstein,4.87,13/10/2022
1626, Gothic,Wuthering Heights,Emily Brontë,2.73,13/10/2022
1627, Historical,Memoirs of a Geisha,Arthur Golden,2.76,13/10/2022
1628, Childrens,Alices Adventures in Wonderland & Through the Looking-Glass,Lewis Carroll,3.07,13/10/2022
1629, Historical Fiction,Jane Eyre,Charlotte Brontë,5.46,13/10/2022
1630, Fantasy,Divergent,Veronica Roth,0.88,13/10/2022
1631, School,Lord of the Flies,William Golding,1.89,13/10/2022
1632, Romance,Romeo and Juliet,William Shakespeare,6.79,13/10/2022
1633, Philosophy,The Alchemist,Paulo Coelho,13.22,13/10/2022
1634, Literature,Crime and Punishment,Fyodor Dostoyevsky,18.85,13/10/2022
1635, Romance,City of Bones,Cassandra Clare,6.29,13/10/2022
1636, Fantasy,Enders Game,Orson Scott Card,4.6,13/10/2022
1637, Childrens,Anne of Green Gables,L.M. Montgomery,6.07,13/10/2022
1638, Young Adult,Charlottes Web,E.B. White,6.15,13/10/2022
1639, Historical Fiction,Of Mice and Men,John Steinbeck,5.75,13/10/2022
1640, Fantasy,Dracula,Bram Stoker,4.55,13/10/2022
1641, Dystopia,Brave New World,Aldous Huxley,3.78,13/10/2022
1642, Literature,The Catcher in the Rye,J.D. Salinger,2.6,13/10/2022
1643, Romance,The Princess Bride,William Goldman,6.23,13/10/2022
1644, Fiction,The Lightning Thief,Rick Riordan,1.79,13/10/2022
1645, Young Adult,The Secret Garden,Frances Hodgson Burnett,3.33,13/10/2022
1646, Novels,A Thousand Splendid Suns,Khaled Hosseini,1.16,13/10/2022
1647, Young Adult,A Wrinkle in Time,Madeleine LEngle,4.8,13/10/2022
1648, Adult,A Game of Thrones,George R.R. Martin,4.01,13/10/2022
1649, Literature,The Adventures of Huckleberry Finn,Mark Twain,6.99,13/10/2022
1650, Contemporary,The Lovely Bones,Alice Sebold,1.91,13/10/2022
1651, Classics,Where the Wild Things Are,Maurice Sendak,3.67,13/10/2022
1652, Fiction,Green Eggs and Ham,Dr. Seuss,2.98,13/10/2022
1653, Mythology,The Odyssey,Homer,3.65,13/10/2022
1654, Adventure,Life of Pi,Yann Martel,2.86,13/10/2022
1655, Literature,A Tale of Two Cities,Charles Dickens,1.12,13/10/2022
1656, Historical,Water for Elephants,Sara Gruen,3.46,13/10/2022
1657, War,Slaughterhouse-Five,Kurt Vonnegut Jr.,8.5,13/10/2022
1658, Science Fiction,Frankenstein: The 1818 Text,Mary Wollstonecraft Shelley,8.75,13/10/2022
1659, Dystopia,The Giver,Lois Lowry,7.15,13/10/2022
1660, Historical Fiction,Catch-22,Joseph Heller,3.32,13/10/2022
1661, Classics,Dune,Frank Herbert,29.34,13/10/2022
1662, Science Fiction,The Stand,Stephen King,8.38,13/10/2022
1663, Young Adult,Watership Down,Richard Adams,5.25,13/10/2022
1664, Historical Fiction,Great Expectations,Charles Dickens,0.85,13/10/2022
1665, Young Adult,Little Women,Louisa May Alcott,5.51,13/10/2022
1666, Magic,Harry Potter and the Deathly Hallows,J.K. Rowling,2.85,13/10/2022
1667, Fiction,Outlander,Diana Gabaldon,5.98,13/10/2022
1668, Young Adult,My Sisters Keeper,Jodi Picoult,2.76,13/10/2022
1669, Fantasy,Matilda,Roald Dahl,6.01,13/10/2022
1670, Feminism,The Color Purple,Alice Walker,13.75,13/10/2022
1671, Young Adult,A Tree Grows in Brooklyn,Betty Smith,5.01,13/10/2022
1672, Dystopia,A Clockwork Orange,Anthony Burgess,13.05,13/10/2022
1673, Post Apocalyptic,The Road,Cormac McCarthy,6.83,13/10/2022
1674, Literature,The Brothers Karamazov,Fyodor Dostoyevsky,5.51,13/10/2022
1675, Classics,Angelas Ashes,Frank McCourt,2.76,13/10/2022
1676, Paranormal,Vampire Academy,Richelle Mead,3.33,13/10/2022
1677, Classics,The Poisonwood Bible,Barbara Kingsolver,4.12,13/10/2022
1678, Childrens,The Golden Compass,Philip Pullman,1.61,13/10/2022
1679, Spanish Literature,Don Quixote,Miguel de Cervantes Saavedra,9.04,13/10/2022
1680, Politics,Atlas Shrugged,Ayn Rand,4.41,13/10/2022
1681, Magic,Harry Potter and the Prisoner of Azkaban,J.K. Rowling,5.94,13/10/2022
1682, Novels,The Old Man and the Sea,Ernest Hemingway,15.63,13/10/2022
1683, Fantasy,Winnie-the-Pooh,A.A. Milne,5.3,13/10/2022
1684, Fiction,The Complete Stories and Poems,Edgar Allan Poe,5.27,13/10/2022
1685, Vampires,Interview with the Vampire,Anne Rice,2.66,13/10/2022
1686, Literature,A Prayer for Owen Meany,John Irving,2.86,13/10/2022
1687, Adventure,Moby-Dick or,Herman Melville,1.87,13/10/2022
1688, Religion,The Red Tent,Anita Diamant,5.26,13/10/2022
1689, Classics,The Secret Life of Bees,Sue Monk Kidd,3.5,13/10/2022
1690, Romance,Clockwork Angel,Cassandra Clare,4.62,13/10/2022
1691, Crime,And Then There Were None,Agatha Christie,4.82,13/10/2022
1692, LGBT,Middlesex,Jeffrey Eugenides,3.11,13/10/2022
1693, Fantasy,The Master and Margarita,Mikhail Bulgakov,13.56,13/10/2022
1694, High Fantasy,The Name of the Wind,Patrick Rothfuss,9.36,13/10/2022
1695, Classics,The Shining,Stephen King,7.59,13/10/2022
1696, Young Adult,The Adventures of Tom Sawyer,Mark Twain,3.36,13/10/2022
1697, Dragons,Eragon,Christopher Paolini,2.86,13/10/2022
1698, Classics,Charlie and the Chocolate Factory,Roald Dahl,1.13,13/10/2022
1699, Literature,On the Road,Jack Kerouac,1.91,13/10/2022
1700, Contemporary,The Curious Incident of the Dog in the Night-Time,Mark Haddon,2.94,13/10/2022
1701, Classics,The Very Hungry Caterpillar,Eric Carle,2.42,13/10/2022
1702, Inspirational,Tuesdays with Morrie,Mitch Albom,3.27,13/10/2022
1703, Literature,The Unbearable Lightness of Being,Milan Kundera,11.62,13/10/2022
1704, Classics,The Name of the Rose,Umberto Eco,4.07,13/10/2022
1705, Childrens,Where the Red Fern Grows,Wilson Rawls,5.4,13/10/2022
1706, Magic,Harry Potter and the Chamber of Secrets,J.K. Rowling,4.17,13/10/2022
1707, School,The Scarlet Letter,Nathaniel Hawthorne,1.91,13/10/2022
1708, Crime,In Cold Blood,Truman Capote,6.58,13/10/2022
1709, Thriller,Fight Club,Chuck Palahniuk,10.16,13/10/2022
1710, Fantasy,The Five People You Meet in Heaven,Mitch Albom,3.57,13/10/2022
1711, Paranormal,Hush,Becca Fitzpatrick,2.55,13/10/2022
1712, Fiction,The Cat in the Hat,Dr. Seuss,0.85,13/10/2022
1713, Adventure,The Count of Monte Cristo,Alexandre Dumas,6.13,13/10/2022
1714, Classics,Lonesome Dove,Larry McMurtry,4.55,13/10/2022
1715, Horror,Perfume: The Story of a Murderer,Patrick Süskind,2.6,13/10/2022
1716, Middle Grade,Holes,Louis Sachar,3.1,13/10/2022
1717, Science Fiction,Watchmen,Alan Moore,4.85,13/10/2022
1718, Fantasy,It,Stephen King,5.71,13/10/2022
1719, Fiction,The Last Olympian,Rick Riordan,7.44,22/01/2023
1720, Literature,The Divine Comedy,Dante Alighieri,13.66,22/01/2023
1721, Childrens,Peter Pan,J.M. Barrie,5.26,22/01/2023
1722, War,All Quiet on the Western Front,Erich Maria Remarque,2.32,22/01/2023
1723, Adventure,The Hobbit,J.R.R. Tolkien,4.68,22/01/2023
1724, Fiction,The Compleat Works of Wllm Shkspr (abridged),Reduced Shakespeare Company,3.17,22/01/2023
1725, Romance,Love in the Time of Cholera,Gabriel García Márquez,3.36,22/01/2023
1726, Paranormal,Shadow Kiss,Richelle Mead,2.76,22/01/2023
1727, Fantasy,The Ultimate Hitchhikers Guide to the Galaxy,Douglas Adams,2.76,22/01/2023
1728, Classics,Atonement,Ian McEwan,2.86,22/01/2023
1729, Drama,The Importance of Being Earnest,Oscar Wilde,5.26,22/01/2023
1730, Biography,Eat Pray Love,Elizabeth Gilbert,5.56,22/01/2023
1731, School,Their Eyes Were Watching God,Zora Neale Hurston,14.2,22/01/2023
1732, Childrens,The Wonderful Wizard of Oz,L. Frank Baum,1.45,22/01/2023
1733, Fiction,Goodnight Moon,Margaret Wise Brown,5.69,22/01/2023
1734, Classics,The Lorax,Dr. Seuss,41.26,22/01/2023
1735, Paranormal,Blood Promise,Richelle Mead,3.73,22/01/2023
1736, China,The Good Earth,Pearl S. Buck,5.27,22/01/2023
1737, Africa,Heart of Darkness,Joseph Conrad,7.19,22/01/2023
1738, Drama,A Midsummer Nights Dream,William Shakespeare,3,22/01/2023
1739, Paranormal,Clockwork Princess,Cassandra Clare,4,22/01/2023
1740, Fiction,The Prophet,Kahlil Gibran,5.8,22/01/2023
1741, Fiction,The Titans Curse,Rick Riordan,3.43,22/01/2023
1742, Fiction,The Sea of Monsters,Rick Riordan,1.91,22/01/2023
1743, China,The Joy Luck Club,Amy Tan,4.74,22/01/2023
1744, Childrens,Alice in Wonderland,Jane Carruth (Adapted By),5.26,22/01/2023
1745, Young Adult,The Call of the Wild,Jack London,5.38,22/01/2023
1746, Fantasy,Jonathan Livingston Seagull,Richard Bach,4.55,22/01/2023
1747, Literature,Madame Bovary,Gustave Flaubert,1.45,22/01/2023
1748, Classics,The Phantom Tollbooth,Norton Juster,5.79,22/01/2023
1749, Dystopia,The Hunger Games Trilogy Boxset,Suzanne Collins,4.09,22/01/2023
1750, Classics,Oh the Places Youll Go!,Dr. Seuss,5.01,22/01/2023
1751, Crime,The Girl Who Played with Fire,Stieg Larsson,3.25,22/01/2023
1752, Fiction,The Maze Runner,James Dashner,3.17,22/01/2023
1753, Young Adult,The Neverending Story,Michael Ende,7.54,22/01/2023
1754, Young Adult,Treasure Island,Robert Louis Stevenson,5.6,22/01/2023
1755, Science Fiction Fantasy,A Storm of Swords,George R.R. Martin,3.57,22/01/2023
1756, Literature,The Canterbury Tales,Geoffrey Chaucer,3.9,22/01/2023
1757, War,A Farewell to Arms,Ernest Hemingway,0.91,22/01/2023
1758, Realistic Fiction,Tote Mädchen lügen nicht,Jay Asher,3.86,22/01/2023
1759, Science Fiction Fantasy,Wicked: The Life and Times of the Wicked Witch of the West,Gregory Maguire,2.76,22/01/2023
1760, Historical,Shōgun,James Clavell,7.04,22/01/2023
1761, Novels,Extremely Loud & Incredibly Close,Jonathan Safran Foer,2.41,22/01/2023
1762, Crime,Murder on the Orient Express,Agatha Christie,2.56,22/01/2023
1763, Childrens,His Dark Materials,Philip Pullman,3.57,22/01/2023
1764, Young Adult,A Little Princess,Frances Hodgson Burnett,2.87,22/01/2023
1765, Holocaust,Schindlers List,Thomas Keneally,0.85,22/01/2023
1766, Paranormal,Last Sacrifice,Richelle Mead,3.8,22/01/2023
1767, Historical Fiction,The Night Circus,Erin Morgenstern,7.02,22/01/2023
1768, Paranormal,Fallen,Lauren Kate,4.64,22/01/2023
1769, High Fantasy,The Silmarillion,J.R.R. Tolkien,17.07,22/01/2023
1770, Historical,The Secret Magdalene,Ki Longfellow,5.6,22/01/2023
1771, Magical Realism,Beloved,Toni Morrison,3.8,22/01/2023
1772, Literature,A Confederacy of Dunces,John Kennedy Toole,5.91,22/01/2023
1773, Fantasy,The Selection,Kiera Cass,5.01,22/01/2023
1774, Picture Books,The Velveteen Rabbit,Margery Williams Bianco,5.9,22/01/2023
1775, Fantasy,Catching Fire,Suzanne Collins,3.66,22/01/2023
1776, Fiction,The Lost Hero,Rick Riordan,10.25,22/01/2023
1777, Paranormal,Spirit Bound,Richelle Mead,4.59,22/01/2023
1778, Paranormal,Clockwork Prince,Cassandra Clare,5.69,22/01/2023
1779, Mythology,The Iliad/The Odyssey,Homer,6.15,22/01/2023
1780, Historical Fiction,The Crucible,Arthur Miller,3.98,22/01/2023
1781, Humor,Cats Cradle,Kurt Vonnegut Jr.,5.69,22/01/2023
1782, Contemporary,The God of Small Things,Arundhati Roy,3.17,22/01/2023
1783, Fantasy,The Wind in the Willows,Kenneth Grahame,4.18,22/01/2023
1784, Classics,Girl with a Pearl Earring,Tracy Chevalier,2.86,22/01/2023
1785, Christian,The Hiding Place: The Triumphant True Story of Corrie Ten Boom,Corrie ten Boom,4.17,22/01/2023
1786, Fiction,A Light in the Attic,Shel Silverstein,12.08,22/01/2023
1787, Mystery,The Silence of the Lambs,Thomas Harris,3.11,22/01/2023
1788, Paranormal,Shiver,Maggie Stiefvater,7.05,22/01/2023
1789, Fiction,Uglies,Scott Westerfeld,3.58,22/01/2023
1790, Romance,City of Fallen Angels,Cassandra Clare,4.75,22/01/2023
1791, History,Mans Search for Meaning,Viktor E. Frankl,7.37,22/01/2023
1792, Adult Fiction,Shes Come Undone,Wally Lamb,1.91,22/01/2023
1793, Romance,The Phantom of the Opera,Gaston Leroux,2.86,22/01/2023
1794, Dogs,Marley and Me: Life and Love With the Worlds Worst Dog,John Grogan,5.29,22/01/2023
1795, Romance,Ella Enchanted,Gail Carson Levine,1.91,22/01/2023
1796, Japanese Literature,The Wind-Up Bird Chronicle,Haruki Murakami,22.25,22/01/2023
1797, Thriller,The Green Mile,Stephen King,17.56,22/01/2023
1798, Science Fiction Fantasy,A Clash of Kings,George R.R. Martin,1.91,22/01/2023
1799, Paranormal,Marked,P.C. Cast,1.79,22/01/2023
1800, Romance,The Guernsey Literary and Potato Peel Pie Society,Mary Ann Shaffer,3.65,22/01/2023
1801, Journalism,Fear and Loathing in Las Vegas,Hunter S. Thompson,5.69,22/01/2023
1802, Classics,The House of the Spirits,Isabel Allende,3.32,22/01/2023
1803, Fiction,The Complete Calvin and Hobbes,Bill Watterson,110.67,22/01/2023
1804, Historical,Roots: The Saga of an American Family,Alex Haley,3.1,22/01/2023
1805, Suspense,Misery,Stephen King,1.12,22/01/2023
1806, Romance,Howls Moving Castle,Diana Wynne Jones,5.95,22/01/2023
1807, Science Fiction Fantasy,Stranger in a Strange Land,Robert A. Heinlein,6.4,22/01/2023
1808, Crime,The Girl Who Kicked the Hornets Nest,Stieg Larsson,1.64,22/01/2023
1809, Literary Fiction,The Secret History,Donna Tartt,9.11,22/01/2023
1810, Adult Fiction,White Oleander,Janet Fitch,4.89,22/01/2023
1811, Science Fiction,Delirium,Lauren Oliver,2.86,22/01/2023
1812, Drama,Othello,William Shakespeare,6.76,22/01/2023
1813, Historical,Flow Down Like Silver: Hypatia of Alexandria,Ki Longfellow,8.08,22/01/2023
1814, Romance,Paper Towns,John Green,1.61,22/01/2023
1815, Fiction,The Vampire Lestat,Anne Rice,5.68,22/01/2023
1816, Realistic Fiction,Speak,Laurie Halse Anderson,5.07,22/01/2023
1817, Russian Literature,The Idiot,Fyodor Dostoyevsky,5.46,22/01/2023
1818, Fiction,King Lear,William Shakespeare,3.78,22/01/2023
1819, Historical Fiction,The Once and Future King,T.H. White,2.66,22/01/2023
1820, Literary Fiction,I Know This Much Is True,Wally Lamb,2.94,22/01/2023
1821, Science Fiction Fantasy,Neverwhere,Neil Gaiman,4.66,22/01/2023
1822, Adventure,Into the Wild,Jon Krakauer,3.75,22/01/2023
1823, Childrens,Inkheart,Cornelia Funke,3.52,22/01/2023
1824, Fantasy,Lamb: The Gospel According to Biff,Christopher Moore,3.56,22/01/2023
1825, Crime,The Complete Sherlock Holmes,Arthur Conan Doyle,11.24,22/01/2023
1826, France,Candide,Voltaire,1.45,22/01/2023
1827, Classics,James and the Giant Peach,Roald Dahl,5.4,22/01/2023
1828, History,Blood River: A Journey to Africas Broken Heart,Tim Butcher,2.76,22/01/2023
1829, Literature,Paradise Lost,John Milton,1.91,22/01/2023
1830, Classics,All Creatures Great and Small,James Herriot,2.63,22/01/2023
1831, Plays,The Complete Works,William Shakespeare,4.44,22/01/2023
1832, Gothic,The Thirteenth Tale,Diane Setterfield,1.76,22/01/2023
1833, Science Fiction Fantasy,Foundation,Isaac Asimov,15.29,22/01/2023
1834, Japanese Literature,Norwegian Wood,Haruki Murakami,13,22/01/2023
1835, Classics,The Things They Carried,Tim OBrien,3.32,22/01/2023
1836, Literature,The Cider House Rules,John Irving,5.14,22/01/2023
1837, Thriller,Different Seasons,Stephen King,3.11,22/01/2023
1838, Fantasy,Kafka on the Shore,Haruki Murakami,8.22,22/01/2023
1839, Young Adult,Heidi,Johanna Spyri,2.49,22/01/2023
1840, Classics,Are You There God? Its Me,Judy Blume,11.9,22/01/2023
1841, Romance,City of Lost Souls,Cassandra Clare,5.26,22/01/2023
1842, Young Adult,Sophies World,Jostein Gaarder,3.43,22/01/2023
1843, High Fantasy,The Wise Mans Fear,Patrick Rothfuss,16.37,22/01/2023
1844, School,The Awakening,Kate Chopin,10.36,22/01/2023
1845, Holocaust,Sophies Choice,William Styron,4.08,22/01/2023
1846, Romance,The Prince of Tides,Pat Conroy,7.15,22/01/2023
1847, Contemporary,Never Let Me Go,Kazuo Ishiguro,6.46,22/01/2023
1848, Fiction,The Son of Neptune,Rick Riordan,6.42,22/01/2023
1849, Urban Fantasy,Dead Until Dark,Charlaine Harris,3.16,22/01/2023
1850, Classics,Fried Green Tomatoes at the Whistle Stop Cafe,Fannie Flagg,16.54,22/01/2023
1851, BDSM,Fifty Shades Darker,E.L. James,6.33,22/01/2023
1852, Fantasy,Ready Player One,Ernest Cline,16.53,22/01/2023
1853, Literature,Middlemarch,George Eliot,5.49,22/01/2023
1854, Humor,The Monster at the End of this Book,Jon Stone,5.46,22/01/2023
1855, Humor,Bridget Joness Diary,Helen Fielding,4.48,22/01/2023
1856, Novels,Mrs. Dalloway,Virginia Woolf,1.33,22/01/2023
1857, Fantasy,Mockingjay,Suzanne Collins,3.43,22/01/2023
1858, Literature,Franny and Zooey,J.D. Salinger,4.19,22/01/2023
1859, Classics,The Power of One,Bryce Courtenay,4,22/01/2023
1860, Young Adult,The Magicians Nephew,C.S. Lewis,2.86,22/01/2023
1861, Young Adult,Stardust,Neil Gaiman,6.7,22/01/2023
1862, Classics,Number the Stars,Lois Lowry,8.29,22/01/2023
1863, Science Fiction,Allegiant,Veronica Roth,2.76,22/01/2023
1864, Fiction,Eleanor & Park,Rainbow Rowell,1.06,22/01/2023
1865, Audiobook,A Short History of Nearly Everything,Bill Bryson,2.17,22/01/2023
1866, Chick Lit,Me Before You,Jojo Moyes,3.14,22/01/2023
1867, Fiction,The Mark of Athena,Rick Riordan,5.11,22/01/2023
1868, Dogs,The Art of Racing in the Rain,Garth Stein,5.27,22/01/2023
1869, High Fantasy,The Way of Kings,Brandon Sanderson,22.74,22/01/2023
1870, Fiction,If I Stay,Gayle Forman,3.82,22/01/2023
1871, Animals,Black Beauty,Anna Sewell,3.16,22/01/2023
1872, Irish Literature,A Portrait of the Artist as a Young Man,James Joyce,5.87,22/01/2023
1873, Adventure,Gullivers Travels,Jonathan Swift,3.27,22/01/2023
1874, Book Club,Bel Canto,Ann Patchett,2.86,22/01/2023
1875, Classics,American Psycho,Bret Easton Ellis,3.34,22/01/2023
1876, Dystopia,V for Vendetta,Alan Moore,14.65,22/01/2023
1877, Classics,Love You Forever,Robert Munsch,3.46,22/01/2023
1878, Classics,The Witches,Roald Dahl,3.84,22/01/2023
1879, Horror,The Graveyard Book,Neil Gaiman,3.87,22/01/2023
1880, Historical Fiction,The Complete Novels,Jane Austen,2.76,22/01/2023
1881, BDSM,Fifty Shades Freed,E.L. James,4,22/01/2023
1882, Romance,Cold Mountain,Charles Frazier,4.21,22/01/2023
1883, Animals,White Fang,Jack London,3.16,22/01/2023
1884, Fantasy,Beowulf,Unknown,4.55,22/01/2023
1885, Fiction,Tuck Everlasting,Natalie Babbitt,3.1,22/01/2023
1886, High Fantasy,The Final Empire,Brandon Sanderson,20.93,22/01/2023
1887, Romance,Beautiful Creatures,Kami Garcia,6.29,22/01/2023
1888, German Literature,Steppenwolf,Hermann Hesse,2.71,22/01/2023
1889, Dragons,Eldest,Christopher Paolini,3.11,22/01/2023
1890, Paranormal Romance,Dark Lover,J.R. Ward,3.89,22/01/2023
1891, Contemporary,Go Ask Alice,Beatrice Sparks (as Anonymous),2.98,22/01/2023
1892, High Fantasy,The Eye of the World,Robert Jordan,5.13,22/01/2023
1893, Short Stories,The Tell-Tale Heart and Other Writings,Edgar Allan Poe,5.58,22/01/2023
1894, Novels,As I Lay Dying,William Faulkner,3.81,22/01/2023
1895, Historical Fiction,A Separate Peace,John Knowles,2.82,22/01/2023
1896, History,The Complete Maus,Art Spiegelman,13.84,22/01/2023
1897, Historical Fiction,Mansfield Park,Jane Austen,3.11,22/01/2023
1898, Literature,The Amazing Adventures of Kavalier & Clay,Michael Chabon,3.76,22/01/2023
1899, Dragons,Brisingr,Christopher Paolini,3.92,22/01/2023
1900, Psychology,A Child Called It,Dave Pelzer,2.93,22/01/2023
1901, Realistic Fiction,Stargirl,Jerry Spinelli,2.25,22/01/2023
1902, Classics,Tao Te Ching,Lao Tzu,8,22/01/2023
1903, Contemporary,Dear John,Nicholas Sparks,1.64,22/01/2023
1904, Classics,Midnights Children,Salman Rushdie,0.85,22/01/2023
1905, Fantasy,Salems Lot,Stephen King,1.12,22/01/2023
1906, Short Stories,The Martian Chronicles,Ray Bradbury,3.63,22/01/2023
1907, Paranormal,Crescendo,Becca Fitzpatrick,5.8,22/01/2023
1908, Romance,The English Patient,Michael Ondaatje,16.05,22/01/2023
1909, Literature,East of Eden,John Steinbeck,5.26,22/01/2023
1910, Historical Fiction,Cloud Atlas,David Mitchell,1.15,22/01/2023
1911, Spirituality,Zen and the Art of Motorcycle Maintenance: An Inquiry Into Values,Robert M. Pirsig,4.41,22/01/2023
1912, Adventure,The Martian,Andy Weir,2.63,22/01/2023
1913, Suspense,The Firm,John Grisham,3.09,22/01/2023
1914, Contemporary,The Last Song,Nicholas Sparks,3.28,22/01/2023
1915, Literature,My Ántonia,Willa Cather,2.86,22/01/2023
1916, Romance,Shatter Me,Tahereh Mafi,4.81,22/01/2023
1917, Science Fiction,The Amber Spyglass,Philip Pullman,1.64,22/01/2023
1918, Russia,Doctor Zhivago,Boris Pasternak,6.56,22/01/2023
1919, France,The Hunchback of Notre-Dame,Victor Hugo,3.32,10/08/2023
1920, Literature,Inferno,Dante Alighieri,5.34,10/08/2023
1921, Historical Fiction,Like Water for Chocolate,Laura Esquivel,2.6,10/08/2023
1922, Fiction,Dragonfly in Amber,Diana Gabaldon,4.8,10/08/2023
1923, Humor,Breakfast of Champions,Kurt Vonnegut Jr.,2.82,10/08/2023
1924, Classics,The BFG,Roald Dahl,2.75,10/08/2023
1925, Young Adult Fantasy,Six of Crows,Leigh Bardugo,5.78,10/08/2023
1926, Magic,Harry Potter Series Box Set,J.K. Rowling,77.25,10/08/2023
1927, Biology,The Origin of Species,Charles Darwin,5.58,10/08/2023
1928, Canada,A Fine Balance,Rohinton Mistry,7.31,10/08/2023
1929, Paranormal,Daughter of Smoke & Bone,Laini Taylor,4.99,10/08/2023
1930, Science Fiction,The Strange Case of Dr. Jekyll and Mr. Hyde,Robert Louis Stevenson,3.35,10/08/2023
1931, Paranormal,City of Heavenly Fire,Cassandra Clare,8.37,10/08/2023
1932, Romance,Evermore,Alyson Noel,1.45,10/08/2023
1933, Drama,Death of a Salesman,Arthur Miller,3.92,10/08/2023
1934, Time Travel,11/22/63,Stephen King,6.21,10/08/2023
1935, Crime,Midnight in the Garden of Good and Evil,John Berendt,4.43,10/08/2023
1936, Fiction,A Streetcar Named Desire,Tennessee Williams,5.26,10/08/2023
1937, Novels,Infinite Jest,David Foster Wallace,10.18,10/08/2023
1938, Politics,The Prince,Niccolò Machiavelli,5.68,10/08/2023
1939, Drama,Hamlet,William Shakespeare,2.2,10/08/2023
1940, Poetry,Faust,Johann Wolfgang von Goethe,6.32,10/08/2023
1941, Chick Lit,Anna and the French Kiss,Stephanie Perkins,3.11,10/08/2023
1942, Science Fiction Fantasy,A Feast for Crows,George R.R. Martin,5,10/08/2023
1943, Fiction,The Angel Experiment,James Patterson,3.43,10/08/2023
1944, Science Fiction,Matched,Ally Condie,1.64,10/08/2023
1945, Mystery,Flowers in the Attic,V.C. Andrews,8.77,10/08/2023
1946, Canada,The Shipping News,Annie Proulx,1.29,10/08/2023
1947, World War II,Unbroken: A World War II Story of Survival,Laura Hillenbrand,1.15,10/08/2023
1948, Young Adult,The Chosen,Chaim Potok,2,10/08/2023
1949, Humor,High Fidelity,Nick Hornby,2.58,10/08/2023
1950, War,All the Light We Cannot See,Anthony Doerr,4.45,10/08/2023
1951, Mystery,Houdini Heart,Ki Longfellow,4.58,10/08/2023
1952, Middle Grade,Artemis Fowl,Eoin Colfer,4.97,10/08/2023
1953, Young Adult,Pippi Longstocking,Astrid Lindgren,6.7,10/08/2023
1954, Short Stories,The Tales of Beedle the Bard,J.K. Rowling,1.79,10/08/2023
1955, Young Adult,The Virgin Suicides,Jeffrey Eugenides,2.67,10/08/2023
1956, Classics,The Reader,Bernhard Schlink,3.16,10/08/2023
1957, Adult,Nineteen Minutes,Jodi Picoult,2.66,10/08/2023
1958, Fiction,The House of Hades,Rick Riordan,8,10/08/2023
1959, Adventure,Shantaram,Gregory David Roberts,5.97,10/08/2023
1960, Crime,The Devil in the White City: Murder,Erik Larson,6.78,10/08/2023
1961, Romance,Redeeming Love,Francine Rivers,3.81,10/08/2023
1962, Romance,The Age of Innocence,Edith Wharton,3.77,10/08/2023
1963, Romance,The Host,Stephenie Meyer,3.89,10/08/2023
1964, Mystery Thriller,The Lost Symbol,Dan Brown,0.85,10/08/2023
1965, Paranormal,Betrayed,P.C. Cast,3.38,10/08/2023
1966, Literature,The Grapes of Wrath,John Steinbeck,27.35,10/08/2023
1967, Historical Fiction,Northanger Abbey,Jane Austen,0.85,10/08/2023
1968, Young Adult,The Voyage of the Dawn Treader,C.S. Lewis,7.83,10/08/2023
1969, Ireland,Dubliners,James Joyce,2.74,10/08/2023
1970, Paranormal Romance,Lover Awakened,J.R. Ward,2.5,10/08/2023
1971, New Adult,A Court of Thorns and Roses,Sarah J. Maas,18.9,10/08/2023
1972, Adult Fiction,Divine Secrets of the Ya-Ya Sisterhood,Rebecca Wells,1.71,10/08/2023
1973, Literature,The Waste Land,T.S. Eliot,5.26,10/08/2023
1974, Paranormal,Untamed,P.C. Cast,2.87,10/08/2023
